ItemID	Response
2644	<![CDATA[Source #1 is a powerful source to learn about all the aspects of what the responsbilities of an Astronaut is like. The source not only describes the effects of weightlessnes like in source #2, but also expands on how being an "astronaut" means different things to the pilots, the repair crew, and as a scientist. Also, the source explains how working as a team affects all of the members.]]>
2644	<![CDATA[Source #1 is a powerful source to learn about all the aspects of what the responsbilities of an Astronaut is like. The source not only describes the effects of weightlessnes like in source #2, but also expands on how being an "astronaut" means different things to the pilots, the repair crew, and how working as a team affects all of the members.]]>
2645	<![CDATA[It's hard being an astronaut because one is not only are required to do so many things, but also because one also has to keep themselves healthy in a hostile environment that is the the cold, isolated reaches of space. Source #1 describes how astronaunts have lots of different responsibilites, like piloting the rocketship or fixing things on the ship. Source #2 descrbies how Astronauts could be afflicted with "]]>
2645	<![CDATA[It's hard being an astronaut because one is not only are required to do so many things, but also because one also has to keep themselves healthy in a hostile environment that is the the cold, isolated reaches of space. Source #1 describes how astronaunts have lots of different responsibilites, like piloting the rocketship or fixing things on the ship. Source #2 descrbies how Astronauts could be afflicted with "chicken legs" and need to excercise in space to stay healthy.]]>
2659	<![CDATA[B]]>
2659	<![CDATA[C]]>
2660	<![CDATA[<itemResponse><response id="1"><value>2</value><value>5</value></response></itemResponse>]]>
2661	<![CDATA[A,D,F]]>
2684	<![CDATA[<itemResponse><response id="EBSR1"><value>C</value></response><response id="EBSR2"><value>A</value><value>F</value></response></itemResponse>]]>
2685	<![CDATA[<itemResponse><response id="1"><value>3</value></response></itemResponse>]]>
2700	<![CDATA[lksamdflkasmd lkmsadlkf alskdf laks dflkas dflkas dflkasd fl kasdfl]]>
2700	<![CDATA[Source #3 is the most likely to be relevant to students researching new approaches to increasing people's financial literacy. The article says, "simply doing more of the training commonly used now will not produce significant results" and then o]]>
2700	<![CDATA[Source #3 is the most likely to be relevant to students researching new approaches to increasing people's financial literacy. The article says, "simply doing more of the training commonly used now will not produce significant results" and then offers three types of efforts that might be more effective or at least warrant more investigation: Just-in-time education, providing simple rules of thumb to help people, and a more user-friendly financial system.]]>
2700	<![CDATA[testing test test]]>
2700	<![CDATA[Source #3 is the best source for students to research new approaches to increasing finnacial literacy. ]]>
2700	<![CDATA[Source #3 is the best source for students to research new approaches to increasing finnacial literacy. Near the end of the passage, the author talks about Professor Lynch's "Just-in-time" educational strategy. ]]>
2700	<![CDATA[Source #3 is the best source for students to research new approaches to increasing finnacial literacy. The one of the first part of the passage, starting with "A popular approach..." discuses how schools could incoperate finnacial ideas in existing classes.  Near the end of the passage, the author talks about Professor Lynch's "Just-in-time" educational strategy, or the idea that teaching finnacial ideas that are salient will stick with people]]>
2700	<![CDATA[Source #3 is the best source for students to research new approaches to increasing finnacial literacy. The one of the first part of the passage, starting with "A popular approach..." discuses how schools could incoperate finnacial ideas in existing classes.  Near the end of the passage, the author talks about Professor Lynch's "Just-in-time" educational strategy, or the idea that teaching finnacial ideas that are salient will stick with students.]]>
2701	<![CDATA[lkfaskmdfl kamsdfl kamlkdf maslkfmd laksdf ]]>
2701	<![CDATA[Source #2 argues that financial literacy courses as currently taught in schools don't appear to be effective as evinced by test scores and ]]>
2701	<![CDATA[Source #2 argues that financial literacy courses in schools don't show long-term effects for students and instead are ]]>
2701	<![CDATA[Source #2 argues that financial literacy programs as currently taught in schools don't appear to be effective as evinced by test scores and ]]>
2701	<![CDATA[Source #2 argues that many financial literacy programs as currently taught in schools don't appear to be effective as evinced by test scores.]]>
2701	<![CDATA[Source #2 argues that many financial literacy programs as currently taught in schools don't appear to be effective as evinced by test scores. But Source #1 provides real-life examples of teachers and students who learned from financial literacy ]]>
2701	<![CDATA[Source #2 argues that many financial literacy programs like the kind currently taught in schools don't appear to be effective as evinced by test scores. But Source #1 provides real-life examples of teachers and students who learned from financial literacy classes in school ]]>
2701	<![CDATA[Source #2 argues that many financial literacy programs like the kind currently taught in schools don't appear to be effective as evinced by test scores. But Source #1 provides real-life examples of teachers and students who learned from financial literacy classes in school, like a student who opened a Roth IRA based on what she learned in class. Other student]]>
2701	<![CDATA[Source #2 argues that many financial literacy programs like the kind currently taught in schools don't appear to be effective as evinced by test scores. But Source #1 provides real-life examples of teachers and students who learned from financial literacy classes in school, like a student who opened a Roth IRA based on what she learned in class. Source #1 also cites a student that found tha]]>
2701	<![CDATA[Source #2 argues that many financial literacy programs like the kind currently taught in schools don't appear to be effective as evinced by test scores. But Source #1 provides real-life examples of teachers and students who learned from financial literacy classes in school, like a student who opened a Roth IRA based on what she learned in class. Source #1 also cites a study that found that college students who were from states where financial literacy was a required part of the curriculum were more likely to budget, to save, and to pay off credit cards in full.]]>
2701	<![CDATA[Source #1 is alll about how a new "hands-on" simulation about how finnance works in everyday life actually helped students learn more about how finance is relevant to them. ]]>
2701	<![CDATA[Source #1 is alll about how a new "hands-on" simulation about how finnance works in everyday life actually helped students learn more about how finance is relevant to them. However, Source #2 actually refutes this claim, with the claim that these classes are actually deterimental or useless. ]]>
2702	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 a</value><value>1 c</value><value>2 a</value><value>2 c</value><value>2 d</value><value>3 c</value></response></itemResponse>]]>
2702	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 a</value><value>1 c</value><value>2 c</value><value>2 d</value><value>3 b</value><value>3 c</value><value>4 b</value></response></itemResponse>]]>
2702	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 a</value><value>2 b</value><value>3 b</value><value>4 c</value></response></itemResponse>]]>
2702	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 a</value><value>2 c</value><value>2 d</value><value>3 b</value><value>3 c</value><value>4 b</value></response></itemResponse>]]>
2702	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 a</value><value>2 d</value><value>3 c</value></response></itemResponse>]]>
2702	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 a</value><value>1 c</value><value>1 d</value><value>2 b</value><value>2 d</value><value>3 a</value><value>3 b</value><value>3 c</value><value>3 d</value><value>4 b</value><value>4 c</value></response></itemResponse>]]>
2702	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 a</value><value>1 c</value><value>1 d</value><value>2 b</value><value>3 a</value><value>3 b</value><value>3 c</value><value>4 b</value><value>4 c</value></response></itemResponse>]]>
2702	<![CDATA[<itemResponse><response id="RESPONSE"><value>3 a</value></response></itemResponse>]]>
2703	<![CDATA[<p>Financial literacy courses are&nbsp;</p>]]>
2703	<![CDATA[<p>Mandatory financial literacy courses should be developed in schools in a way that will resonnate with them. Schools need to address the issue that many Americans have tremendous difficulty with. While the efficacy of the programs has been ci &nbsp;</p>]]>
2703	<![CDATA[<p>Mandatory financial literacy courses should be developed in schools in a way that will resonnate with them. Schools need to address the issue that many Americans have tremendous difficulty with. While the efficacy of the programs has been cited like in source #2, source #1 has the teaching method of a simulation that creates a great amount of both real-life salience and efficacy. The sources against the idea&nbsp; &nbsp;</p>]]>
2703	<![CDATA[<p>Mandatory financial literacy courses should be developed in schools in a way that will resonnate with them. Schools need to address the issue that many Americans have tremendous difficulty with. While the efficacy of the programs has been cited like in source #2, source #1 has the teaching method of a simulation that creates a great amount of both real-life salience and efficacy. The sources against the idea of mandating schools either briefly touch on the idea that we just haven&#39;t found the secret formula yet (Source #2), are completely valid as many teachers are still trying to innovate succesful ways to balance engagement, learning, efficacy, and time all in one course.</p>]]>
2703	<![CDATA[<p>The es</p>]]>
2704	<![CDATA[<itemResponse><response id="EBSR1"><value>C</value></response><response id="EBSR2"><value>C</value></response></itemResponse>]]>
2705	<![CDATA[D]]>
2707	<![CDATA[<itemResponse><response id="1"><value>4</value></response></itemResponse>]]>
2709	<![CDATA[The stories of the last paragraph suggest the the narrator is astonished at how far he's come. The narrator claims that despite all the stories seemingly setting a benchmark for how long people can survive adri]]>
2709	<![CDATA[The stories of the last paragraph suggest the the narrator is astonished at how far he's come. The narrator claims that despite all the stories seemingly setting a benchmark for how long people can survive adrift, the narrator survived the longest. He also uses the word "trial", as if denoting that it was an aurdous experience that he overcame.]]>
2788	<![CDATA[<responseSpec><responseTable><tr><th id="col0"/><th id="col1"/></tr><tr><td/><td>10</td></tr><tr><td/><td>13</td></tr><tr><td/><td>17</td></tr><tr><td/><td>20</td></tr></responseTable></responseSpec>]]>
2789	<![CDATA[<responseSpec><responseTable><tr><th id="col0"/><th id="col1"/></tr><tr><td/><td>26</td></tr><tr><td/><td>24</td></tr><tr><td/><td>21</td></tr><tr><td/><td>16</td></tr></responseTable></responseSpec>]]>
